"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79"
"subject2STANDING" 0.274435064444444 -0.0228712482222222 -0.105348942444444 -0.986542885555556 -0.966992551111111 -0.937297273333333 0.928136685555556 -0.300090927777778 0.134478708888889 -0.987550023333333 -0.978485861111111 -0.933426437777778 0.0744787616666667 0.0128862254222222 -0.0109297472555556 -0.978682364444444 -0.975160183333333 -0.978809197777778 -0.0191365888777778 -0.102573524555556 0.115211241 -0.964970161111111 -0.958380437777778 -0.970448091111111 -0.113172193555556 -0.0521592682222222 -0.0630405897777778 -0.97625133 -0.979141878888889 -0.979140934444444 -0.967447807777778 -0.94860487 -0.967447807777778 -0.94860487 -0.979825007777778 -0.971975447777778 -0.941814811111111 -0.947220644444444 -0.981789064444444 -0.974788554444444 -0.981958283333333 -0.965957617777778 -0.954817272222222 -0.988959834444444 -0.968656118888889 -0.932706184444444 0.0423379848666667 0.0716373282877778 -0.0487103097666667 -0.977272223333333 -0.974995534444444 -0.97530629 -0.982510013333333 -0.977258357777778 -0.981022016666667 0.284919386111111 -0.0891248185555556 -0.087752698 -0.957795202222222 -0.959225452222222 -0.967481803333333 -0.967571624444444 -0.958201587777778 -0.974330045555556 -0.149263000444444 -0.219148244888889 0.0119276698888889 -0.957662217777778 -0.95156664 0.0853968948888889 -0.971583531111111 -0.971447857777778 0.197428199777778 -0.952365028888889 -0.952642155555556 -0.0776679454444444 -0.975284088888889 -0.975613538888889 0.0646112828888889
"subject2SITTING" 0.269931877328125 -0.017438759441875 -0.12154990596875 -0.554480429938281 -0.352218551707813 -0.4588846696375 0.57726490234375 -0.141962711328125 0.0452798932359375 -0.958314013671875 -0.9591083115625 -0.93813252828125 0.081957810536875 0.00306002779367187 -0.0075352316028125 -0.498027631842188 -0.444849361854687 -0.677672461328125 -0.0492772968566406 -0.0605806321757813 0.106350858216406 -0.660307223304687 -0.684213513671875 -0.541539360629688 -0.0865859590382812 -0.0446240749664062 -0.0609445398289062 -0.65664608984375 -0.779889852421875 -0.6610730853125 -0.456392650239063 -0.487156597892188 -0.456392650239063 -0.487156597892188 -0.527579774953125 -0.450915891460938 -0.546752378443203 -0.643847213359375 -0.73127641828125 -0.745571075625 -0.517485236661719 -0.368047772960937 -0.522093116185156 -0.570763594375 -0.386718707155469 -0.468385330939062 -0.163159570025 0.0575439659554687 0.0513489035608281 -0.502130132272656 -0.4628695983375 -0.642486220101563 -0.540521665697656 -0.463891509109375 -0.712055040703125 0.0401278607085937 -0.175761979594531 -0.145151590994531 -0.593382575382812 -0.6901481128125 -0.538123460859375 -0.68273525815625 -0.68404701828125 -0.588197084617187 -0.0666072665273438 -0.11092514815625 -0.03035879541875 -0.447611220954688 -0.5917561065625 0.146435782971875 -0.449165432351562 -0.457274977279688 0.183785100100781 -0.677059646796875 -0.684452746875 0.0080944328640625 -0.748926078359375 -0.759340537421875 0.118533497040078
"subject2LAYING" 0.268538856968254 -0.0172078020528571 -0.122739591325397 -0.54812297866746 -0.335604829988889 -0.44435055344127 0.843161021031746 -0.285282695372571 -0.0201783111968254 -0.95735257547619 -0.951492260873016 -0.929013390793651 0.0812451644660317 0.00370488701730159 -0.00413311814126984 -0.489762305363492 -0.433990923312698 -0.671719166666667 -0.0551060673480159 -0.0492600123134921 0.0926034772277778 -0.654980090738095 -0.6783622 -0.533083130957143 -0.0846793613484127 -0.045832533202381 -0.056714334865873 -0.650322370555556 -0.77596672452381 -0.655624916904762 -0.445266315639683 -0.472402685398413 -0.445266315639683 -0.472402685398413 -0.51934766915873 -0.440451508547619 -0.534050115799444 -0.636881998095238 -0.726689052142857 -0.740729129444444 -0.509338715180159 -0.352743416420635 -0.510601434854762 -0.565114891746032 -0.37065638512619 -0.453440487938095 -0.116998337326984 0.0576510867920635 0.0092441040625873 -0.493842340086508 -0.452223188390476 -0.635913010261905 -0.53308025523254 -0.453591109650794 -0.706720699285714 0.0552980244584603 -0.194661795083333 -0.163727727755556 -0.586717443563492 -0.684395279365079 -0.52957605531746 -0.677869650984127 -0.678229504920635 -0.580619813103175 -0.0665440036579365 -0.129340938063492 -0.0167665256205556 -0.433084621604762 -0.579398982222222 0.157957700915873 -0.438683604452381 -0.446927521284127 0.136834063792857 -0.671106348412698 -0.678107616984127 -0.00346450381269841 -0.744048561587302 -0.754863352936508 0.0995512393502381
"subject2WALKING" 0.299068165 -0.0399469835 -0.124914465 -0.424195465 -0.1310703 -0.420978145 0.91918697 -0.346411695 0.031695113 -0.98861426 -0.979004025 -0.96673942 -0.0654963205 0.00150229999999998 -0.170256935 -0.292621805 -0.06220493645 -0.63198847 0.010560074065 -0.107093495 0.089824718 -0.600521415 -0.552259765 -0.533273525 -0.0154908515 -0.143656815 -0.1346417695 -0.46039749 -0.73416396 -0.56210006 -0.306909865 -0.42469604 -0.306909865 -0.42469604 -0.306154485 -0.21909289 -0.493690125 -0.584936665 -0.625214055 -0.68099523 -0.34778739 -0.057817039 -0.46902706 -0.457499285 -0.22840981 -0.439676715 -0.189508555 0.175935825 -0.0057145705 -0.31499231 -0.117653188 -0.60213879 -0.33205876 -0.0638020185 -0.661176115 -0.13131526 -0.347844515 -0.37436618 -0.48621101 -0.592298335 -0.483168725 -0.63707206 -0.53251214 -0.59361237 -0.04290731 -0.266018985 0.0376842015 -0.364978025 -0.55046547 0.32283355 -0.215487915 -0.229008325 0.205606855 -0.58379118 -0.658657855 0.0759489565 -0.66501363 -0.72419233 0.194765115
"subject2WALKING_DOWNSTAIRS" 0.270585555635294 -0.0182298008952941 -0.119746984411765 -0.509905229835882 -0.311354525070588 -0.491129347515294 0.685047598764706 -0.155221082629082 0.104147609436471 -0.957168818529412 -0.953743195705882 -0.935400629411765 0.082647184081 0.00383816837570588 0.000289895273294117 -0.445023022972941 -0.387112331798235 -0.664346333058824 -0.0621709185622353 -0.0458079995205882 0.0901286210388235 -0.638122794178824 -0.671393976705882 -0.540384875227059 -0.0840957991876471 -0.0434943055623529 -0.0563021269452941 -0.581684531588235 -0.710995397541176 -0.58629348285 -0.43201769538 -0.431033421471765 -0.43201769538 -0.431033421471765 -0.488948447538235 -0.385134477091176 -0.525110827633706 -0.604425005735294 -0.674520689941176 -0.652343259611765 -0.471995917615882 -0.318020380091765 -0.532280116362941 -0.526828002568235 -0.353712607964118 -0.510611049530588 -0.115965834986471 0.108488888201176 0.115310979106212 -0.451955602299412 -0.410933224136471 -0.632104819658823 -0.489363451260588 -0.403948447438235 -0.695686362529412 0.0463844149113882 -0.173433596581765 -0.105568700810588 -0.543652595835882 -0.653237651164706 -0.497407526738824 -0.669507403970588 -0.686832853764706 -0.602771318829412 -0.00749049323176471 0.00530179019823529 0.0716144028253529 -0.384197749942353 -0.54946081273 0.2186685966 -0.385386146117059 -0.389711763286471 0.161351405725882 -0.626105599041176 -0.661462671952941 0.0781659402629412 -0.670648452970588 -0.654276697852941 0.0930988940611765
"subject2WALKING_UPSTAIRS" 0.268226974668639 -0.0194366795853254 -0.12108310256213 -0.541305085976331 -0.318232813637278 -0.531484699423669 0.682231039822485 -0.176214112289609 0.138704396143195 -0.956481451065089 -0.951326512721894 -0.930840477159763 0.0762745520887574 0.003571971957929 0.00762967062934911 -0.489935312192899 -0.406465102134911 -0.713119686035503 -0.0563296674472189 -0.0474042688668639 0.0768071668159763 -0.655633802647337 -0.671614933017751 -0.550919972240237 -0.0860018810792899 -0.0434942892668639 -0.0502311074662722 -0.594119579408284 -0.724078659952663 -0.603849820381657 -0.454391434029586 -0.481758238249704 -0.454391434029586 -0.481758238249704 -0.526233272884615 -0.434328654020118 -0.538816401710059 -0.610482718994083 -0.686560714852071 -0.668123038011834 -0.506660105852071 -0.333035901889408 -0.582866637442012 -0.55678920323432 -0.355957447194083 -0.542317412714201 -0.12306896582071 0.109496073622485 0.0756311624671953 -0.492631144005917 -0.425380735314793 -0.686038589994083 -0.535151550029586 -0.428015320162722 -0.739317219526627 0.0552854667806864 -0.160296806484615 -0.121224532413018 -0.56274804302426 -0.663434617798817 -0.52287278527574 -0.686534702550296 -0.681278984733728 -0.60666140308284 -0.00584327229822485 -0.010651415995858 0.0872401634704734 -0.434108267973373 -0.592829360201775 0.229329494211834 -0.427896883439053 -0.447112186530178 0.167373165560947 -0.630298367201183 -0.667882249952663 0.0780642201933136 -0.685792202218935 -0.669876240857988 0.0963716870757396
"subject4STANDING" 0.27803771425 -0.0139191536629687 -0.105742663385417 -0.681410594022396 -0.591832032399479 -0.73977255265625 0.731373178802083 0.0680171338304411 0.195245887385417 -0.9690803415625 -0.947026085208333 -0.936254838828125 0.0775591685848958 0.00168477826102604 -0.00757650363557292 -0.698161437255208 -0.668402141390625 -0.858262797916667 -0.0298177144520833 -0.0746104303619792 0.0915242945447917 -0.748664232302083 -0.827637583125 -0.7440886590625 -0.105185970014063 -0.0411475347713542 -0.0608591470992708 -0.776792417552083 -0.910845637447917 -0.7886575184375 -0.636365357208854 -0.671599522015625 -0.636365357208854 -0.671599522015625 -0.719854630989583 -0.70777437015625 -0.70715250734375 -0.747330342671875 -0.848310189739583 -0.869760525104167 -0.69650267828125 -0.611907025942187 -0.78309082 -0.67688429546224 -0.608550023335417 -0.737756026197917 -0.154302434754062 0.0539028435036458 -0.0149969783716146 -0.715254280856771 -0.682205581770833 -0.844028334479167 -0.70811910925 -0.676578529119792 -0.871226679791667 0.0367110450390625 -0.173341072142708 -0.0777152040213542 -0.705585242270833 -0.850829600416667 -0.72184190734375 -0.763772401296875 -0.816750083333333 -0.777326113229167 -0.148748438343229 -0.358211147919792 -0.024413453734375 -0.668751651020833 -0.726744323489583 0.0723387025469792 -0.6994737723125 -0.720954716302083 0.167763071975833 -0.78353333125 -0.767771448020833 -0.158358947729688 -0.866748815416667 -0.88348052203125 0.146021702147917
"subject4SITTING" 0.276960648115789 -0.0127443902299474 -0.106284632915789 -0.677280771538421 -0.581166422919474 -0.739940908105263 0.712733136315789 0.118152395057077 0.176025624863158 -0.968068069315789 -0.942005742278947 -0.941993450789474 0.0783558134436842 -0.00181820816805263 -0.00637750336631579 -0.6952615767 -0.662737104194737 -0.856984434368421 -0.0330027537621053 -0.0767093802078947 0.0939154749189474 -0.755372493536842 -0.825219044052632 -0.739672146263158 -0.10446542233 -0.0410779683910526 -0.0605445638543158 -0.775790112789474 -0.910500646526316 -0.785498213526316 -0.631682916600526 -0.664589242142105 -0.631682916600526 -0.664589242142105 -0.716603620578947 -0.703380233631579 -0.705968363368421 -0.749049369121053 -0.847544144684211 -0.868336587842105 -0.692774223947368 -0.602187292057368 -0.782293264684211 -0.672618954151316 -0.598210274844211 -0.738367487052632 -0.168247954782105 0.0720653285378947 -0.0162895730923684 -0.712587958023684 -0.676662599315789 -0.842580776421053 -0.705217171663158 -0.671203401268421 -0.870125378210526 0.0185169135668947 -0.170409244348421 -0.0981630326510526 -0.710351001452632 -0.849474952473684 -0.717672276789474 -0.770899887468421 -0.813851809421053 -0.773284837368421 -0.102577050353105 -0.360798102947368 -0.0246907562752632 -0.661454954768421 -0.720939567368421 0.0822125401264211 -0.695218527705263 -0.716415051789474 0.158314979186105 -0.784778495789474 -0.769422470210526 -0.149631447263684 -0.865424265157895 -0.882011025 0.134427559891579
"subject4LAYING" 0.273882659815789 -0.0136018595767895 -0.105775744447368 -0.672119791748947 -0.579361568340526 -0.740874667789474 0.546763630789474 0.221972748028421 0.179786408073684 -0.956485018947368 -0.941287861384211 -0.943123400473684 0.0815319826384211 -0.00225958875377368 -0.00703958082405263 -0.695105146752632 -0.659203001089474 -0.856408528368421 -0.0279853821626316 -0.0762766010663158 0.106464649103158 -0.754412781852632 -0.823685690052632 -0.740100410473684 -0.105974462272105 -0.0412804015489474 -0.0646309204669474 -0.775104672578947 -0.910131806736842 -0.785678516842105 -0.629721104600526 -0.658782733547368 -0.629721104600526 -0.658782733547368 -0.715563731789474 -0.700665246526316 -0.702799230157895 -0.747905927857895 -0.847303836263158 -0.867766819105263 -0.688369938789474 -0.599185752531053 -0.782136881105263 -0.667145108625 -0.597131619054737 -0.739801922105263 -0.211439188900526 0.100060102048421 0.0104403597118947 -0.712388440602632 -0.673127721789474 -0.842023128210526 -0.705134538873684 -0.667930613110526 -0.869511336684211 0.000493000261631579 -0.154456460341579 -0.0996217261642105 -0.709358932821053 -0.848504174368421 -0.717667868473684 -0.769935580678947 -0.812089881578947 -0.773822054947368 -0.127872846933105 -0.374755350328421 -0.00313993765105263 -0.656197261136842 -0.715767539221053 0.106918259695895 -0.692753705863158 -0.713398328157895 0.150792288559789 -0.784030221263158 -0.768216775842105 -0.164238721332632 -0.865005867315789 -0.881307789105263 0.130127780407368
"subject4WALKING" 0.274462971687831 -0.0136145621626455 -0.105618354714286 -0.58627699038254 -0.434124772861376 -0.688138566772487 0.767213520952381 0.0748898561449736 0.12460756594709 -0.962641113703704 -0.939148765941799 -0.940306716402116 0.0818281504936508 -0.00250753171966667 -0.00518167272746032 -0.585422601243386 -0.53950757694127 -0.827897378941799 -0.0326820754739153 -0.0713453454312169 0.0953211225126984 -0.673472845513228 -0.777109869206349 -0.697227722169312 -0.110268477232275 -0.0406882622968254 -0.0614059685604233 -0.695467175079365 -0.884204731269841 -0.735109470793651 -0.523721172085185 -0.590567234095238 -0.523721172085185 -0.590567234095238 -0.618716398412698 -0.597019875661376 -0.630412175468783 -0.677909661232804 -0.799954056296296 -0.827769523333333 -0.602190531534392 -0.468505318414815 -0.734299729259259 -0.581475071686508 -0.453977039225979 -0.688663917724868 -0.183140642264021 0.0489748166037037 -0.0288078552042857 -0.611876634256614 -0.562867476253968 -0.809974517883598 -0.595887014619048 -0.545879414433862 -0.844626123492063 -0.0457736271580952 -0.229782708189947 -0.163812318990476 -0.608315510984127 -0.804594663968254 -0.666354277089947 -0.695584728619048 -0.764112657830688 -0.738049490529101 -0.129959910754974 -0.340053914832804 -0.00169636530899471 -0.574589200507936 -0.666950732497354 0.135272699604339 -0.588179684888889 -0.611944666984127 0.125869547583386 -0.724320873603175 -0.703817494761905 -0.113037539921323 -0.822780293968254 -0.847360713756614 0.145807570536508
